term,year,level,country_code,country_name,school_type,characteristic_desc,characteristic_1,characteristic_2,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_PA_10_exact,enrolments_pa_10_exact_percent,sess_possible_pa_10_exact,sess_overall_pa_10_exact,sess_authorised_pa_10_exact,sess_unauthorised_pa_10_exact,sess_overall_percent_pa_10_exact,sess_authorised_percent_pa_10_exact,sess_unauthorised_percent_pa_10_exact,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons
six half terms,201617,National,E92000001,England,Total,,Total,,6899770,2440216810,113475287,82795485,30679802,4.7,3.4,1.3,744275,10.8,235809304,42637902,26187811,16450091,18.1,11.1,7,62280633,6972008,1650025,620815,254972,1805876,.,1903131,6681445,82168905,8984730,1637724,18215770,1626350,30464574,112633479
six half terms,201617,National,E92000001,England,Total,,Gender_male,,3530570,1247454277,58531430,42763862,15767568,4.7,3.4,1.3,386570,10.9,122229924,22414663,13843081,8571582,18.3,11.3,7,31591107,3510186,850755,333893,132593,931321,.,1432572,3652790,42435217,4534716,857327,9425216,835655,15652914,58088131
six half terms,201617,National,E92000001,England,Total,,Gender_female,,3369195,1192762533,54943857,40031623,14912234,4.6,3.4,1.3,357705,10.6,113579380,20223239,12344730,7878509,17.8,10.9,6.9,30689526,3461822,799270,286922,122379,874555,.,470559,3028655,39733688,4450014,780397,8790554,790695,14811660,54545348
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Major_White_Total,,5144365,1830414315,87095112,63872507,23222605,4.8,3.5,1.3,572880,11.1,183902624,33847907,20953293,12894614,18.4,11.4,7,49069272,5413547,112429,463306,246782,1401466,.,1455066,5176028,63337896,6687786,1203063,14002019,1148803,23041671,86379567
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Minor_White_British,,4673505,1667704159,78319397,57999226,20320171,4.7,3.5,1.2,505910,10.8,163773720,30144490,18942182,11202308,18.4,11.6,6.8,44711256,4953620,52390,432441,92106,1254444,.,1353446,4668703,57518406,5950416,1097410,12143235,970845,20161906,77680312
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Minor_Irish,,19665,6955294,382959,273916,109043,5.5,3.9,1.6,2825,14.4,878748,177068,99997,77071,20.2,11.4,8.8,198375,23599,573,3379,5215,4910,.,6117,30026,272194,17033,6482,76480,8433,108428,380622
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Minor_Traveller_of_Irish_heritage,,5780,1719528,311821,163178,148643,18.1,9.5,8.6,3700,64,1042813,276918,139828,137090,26.6,13.4,13.1,69171,6760,567,65,55803,1140,.,5676,23278,162460,11207,7467,121158,7670,147502,309962
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Minor_Gypsy_Roma,,25505,8026834,1036657,508618,528039,12.9,6.3,6.6,12550,49.2,3701610,818712,378376,440336,22.1,10.2,11.9,294772,29642,1202,922,89934,3935,.,22401,58784,501592,67832,16757,411956,28270,524815,1026407
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Minor_Any_other_white_background,,419905,146008500,7044278,4927569,2116709,4.8,3.4,1.4,47895,11.4,14505733,2430719,1392910,1037809,16.8,9.6,7.2,3795698,399926,57697,26499,3724,137037,.,67426,395237,4883244,641298,74947,1249190,133585,2099020,6982264
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Major_Mixed_Total,,382660,134836233,6607319,4640028,1967291,4.9,3.4,1.5,47140,12.3,14855078,2682825,1546527,1136298,18.1,10.4,7.6,3430774,376507,95303,35370,802,103221,.,141126,432127,4615230,432117,157973,1255079,112749,1957918,6573148
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Minor_White_and_Black_Caribbean,,104785,36648770,2135902,1402388,733514,5.8,3.8,2,17345,16.6,5502733,1032137,561501,470636,18.8,10.2,8.6,1043757,110644,2376,8112,139,21134,.,64820,146484,1397466,120171,65484,504925,40782,731362,2128828
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Minor_White_and_Black_African,,51180,18015898,792182,562101,230081,4.4,3.1,1.3,5280,10.3,1633471,291913,169836,122077,17.9,10.4,7.5,415174,47731,9758,3249,112,11039,.,17636,53343,558042,50211,19206,145205,13807,228429,786471
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Minor_White_and_Asian,,88205,31431433,1390275,1036294,353981,4.4,3.3,1.1,8770,9.9,2794077,489056,300267,188789,17.5,10.7,6.8,766203,83045,39139,10553,67,28978,.,17772,83899,1029656,104391,22781,206479,18336,351987,1381643
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Minor_Any_other_Mixed_background,,138495,48740132,2288960,1639245,649715,4.7,3.4,1.3,15740,11.4,4924797,869719,514923,354796,17.7,10.5,7.2,1205640,135087,44030,13456,484,42070,.,40898,148401,1630066,157344,50502,398470,39824,646140,2276206
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Major_Asian_Total,,726415,257056916,11407391,8415176,2992215,4.4,3.3,1.2,66900,9.2,21367241,3299671,2068780,1230891,15.4,9.7,5.8,5801926,630642,1084954,73170,479,175849,.,87980,515672,8370672,1287907,106327,1419137,165240,2978611,11349283
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Minor_Indian,,196285,69350356,2484127,1916814,567313,3.6,2.8,0.8,11810,6,3613216,552502,368319,184183,15.3,10.2,5.1,1402929,154801,106023,29295,201,61007,.,10560,141201,1906017,286877,19043,228874,28389,563183,2469200
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Minor_Pakistani,,293715,104329114,5388241,3831155,1557086,5.2,3.7,1.5,35350,12,11551624,1790569,1080797,709772,15.5,9.4,6.1,2511679,272803,685770,21518,97,59060,.,51602,205032,3807561,675972,52602,740232,82001,1550807,5358368
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Minor_Bangladeshi,,115810,41243198,1938269,1454420,483849,4.7,3.5,1.2,11040,9.5,3621214,551162,354713,196449,15.2,9.8,5.4,1048484,102031,188135,5198,31,19246,.,15134,70808,1449067,165703,20255,268488,27831,482277,1931344
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Minor_Any_other_Asian_background,,120605,42134248,1596754,1212787,383967,3.8,2.9,0.9,8700,7.2,2581187,405438,264951,140487,15.7,10.3,5.4,838834,101007,105026,17159,150,36536,.,10684,98631,1208027,159355,14427,181543,27019,382344,1590371
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Major_Black_Total,,392150,136631289,4644815,3293056,1351759,3.4,2.4,1,27860,7.1,8074158,1415301,829142,586159,17.5,10.3,7.3,2213836,319099,190756,28424,148,57241,.,156306,319347,3285157,257231,117016,851010,122692,1347949,4633106
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Minor_Black_Caribbean,,82295,28733701,1367355,893445,473910,4.8,3.1,1.6,10420,12.7,3264508,584716,319036,265680,17.9,9.8,8.1,621224,78924,3311,7628,48,15555,.,61873,103794,892357,71687,50730,313398,37079,472894,1365251
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Minor_Black_African,,258345,89999216,2606489,1940526,665963,2.9,2.2,0.7,12990,5,3498344,594349,375233,219116,17,10.7,6.3,1275843,196262,173722,17714,78,32205,.,74018,165416,1935258,146411,47291,401267,68853,663822,2599080
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Minor_Any_other_black_background,,51510,17898372,670971,459085,211886,3.7,2.6,1.2,4450,8.6,1311306,236236,134873,101363,18,10.3,7.7,316769,43913,13723,3082,22,9481,.,20415,50137,457542,39133,18995,136345,16760,211233,668775
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Major_Chinese,,28160,9893785,233434,178690,54744,2.4,1.8,0.6,870,3.1,248550,40034,25265,14769,16.1,10.2,5.9,118637,21465,846,5481,151,12353,.,1075,17422,177430,31381,2574,17068,3278,54301,231731
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Major_Any_Other_Ethnic_Group,,125140,43014364,1898794,1314865,583929,4.4,3.1,1.4,12145,9.7,3506673,582505,330236,252269,16.6,9.4,7.2,876014,121778,138822,7815,1378,33411,.,25000,105521,1309739,194172,22874,322298,40695,580039,1889778
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Minority_Ethnic_Group,,2125385,744142743,33567468,23715096,9852372,4.5,3.2,1.3,221885,10.4,68180604,11723753,6811061,4912692,17.2,10,7.2,16799203,1929418,1570720,181125,157634,529097,.,513107,1897414,23577718,2940178,512417,5723376,622612,9798583,33376301
six half terms,201617,National,E92000001,England,Total,,Ethnicity_Major_Unclassified,,100875,28369908,1588422,1081163,507259,5.6,3.8,1.8,16485,16.3,3854980,769659,434568,335091,20,11.3,8.7,770174,88970,26915,7249,5232,22335,.,36578,115328,1072781,94136,27897,349159,32893,504085,1576866
six half terms,201617,National,E92000001,England,Total,,NC_Year_1_and_below,,698370,251243984,11191644,8416460,2775184,4.5,3.3,1.1,67095,9.6,22159225,3428639,2278631,1150008,15.5,10.3,5.2,6688777,641100,169351,243,34583,257419,.,33329,496696,8321498,1242120,206006,1171242,123975,2743343,11064841
six half terms,201617,National,E92000001,England,Total,,NC_Year_2,,682290,246493859,9916836,7288591,2628245,4,3,1.1,53900,7.9,17751956,2748905,1753932,994973,15.5,9.9,5.6,5676140,572845,169325,172,34590,241360,.,40813,473291,7208536,1192310,188674,1105161,112722,2598867,9807403
six half terms,201617,National,E92000001,England,Total,,NC_Year_3,,670765,241695118,9465736,6914909,2550827,3.9,2.9,1.1,52035,7.8,17078652,2660061,1677579,982482,15.6,9.8,5.8,5315850,552626,172553,283,33594,234708,.,52717,469571,6831902,1124425,184524,1098878,113274,2521101,9353003
six half terms,201617,National,E92000001,England,Total,,NC_Year_4,,672285,242967196,9632154,7094370,2537784,4,2.9,1,53310,7.9,17597678,2745920,1757566,988354,15.6,10,5.6,5477100,549845,174070,432,31843,231327,.,62338,481716,7008671,1086716,175524,1129994,114522,2506756,9515427
six half terms,201617,National,E92000001,England,Total,,NC_Year_5,,644305,233489789,9383320,6989099,2394221,4,3,1,52370,8.1,17458461,2758721,1792432,966289,15.8,10.3,5.5,5388158,535534,168549,341,33683,207789,.,69625,501267,6904946,990604,152307,1110400,112543,2365854,9270800
six half terms,201617,National,E92000001,England,Total,,NC_Year_6,,614980,225725259,9032302,6792657,2239645,4,3,1,48415,7.9,16556501,2671422,1756468,914954,16.1,10.6,5.5,5173724,537266,162339,524,25809,179050,.,79129,554250,6712091,878740,138031,1088040,108586,2213397,8925488
six half terms,201617,National,E92000001,England,Total,,NC_Year_7,,603470,217923046,9575640,7283827,2291813,4.4,3.3,1.1,58575,9.7,19480051,3476530,2207433,1269097,17.8,11.3,6.5,5649009,563421,142150,268,14951,108041,.,212963,572467,7263270,568827,48979,1532698,136081,2286585,9549855
six half terms,201617,National,E92000001,England,Total,,NC_Year_8,,593670,212898051,11005740,8057573,2948167,5.2,3.8,1.4,74850,12.6,24678531,4647559,2833631,1813928,18.8,11.5,7.4,6041247,713765,141188,447,14411,114098,.,318416,693298,8036870,622105,80273,2073984,166947,2943309,10980179
six half terms,201617,National,E92000001,England,Total,,NC_Year_9,,575775,206344344,11843386,8432234,3411152,5.7,4.1,1.7,85325,14.8,28148037,5573809,3289519,2284290,19.8,11.7,8.1,6180294,807995,139638,1668,13037,107320,.,382904,776400,8409256,588537,118040,2499748,199178,3405503,11814759
six half terms,201617,National,E92000001,England,Total,,NC_Year_10,,551590,198469465,12158812,8413851,3744961,6.1,4.2,1.9,89150,16.2,29701415,6250855,3576541,2674314,21,12,9,6035788,832066,130139,19780,10206,88422,.,406052,860147,8382600,479592,168129,2853733,230822,3732276,12114876
six half terms,201617,National,E92000001,England,Total,,NC_Year_11,,537105,160876708,9930246,6944999,2985247,6.2,4.3,1.9,85020,15.8,24429118,5375162,3127702,2247460,22,12.8,9.2,4586585,655796,73090,595121,5534,34212,.,232376,740877,6923591,199804,173880,2409369,193963,2977016,9900607
six half terms,201617,National,E92000001,England,Total,,NC_Year_12_and_above,,605,155207,10694,6607,4087,6.9,4.3,2.6,125,20.5,29377,5958,3395,2563,20.3,11.6,8.7,3410,501,103,1275,2,162,.,25,1023,6501,121,174,2165,1475,3935,10436
six half terms,201617,National,E92000001,England,Total,,NC_Year_Not_followed_or_missing,,54555,1934784,328777,160308,168469,17,8.3,8.7,24105,44.2,740302,294361,132982,161379,39.8,18,21.8,64551,9248,7530,261,2729,1968,.,12444,60442,159173,10829,3183,140358,12262,166632,325805
six half terms,201617,National,E92000001,England,Total,,FSM_eligible,,1021990,355602296,25828735,16270430,9558305,7.3,4.6,2.7,231040,22.6,75220393,14734076,7950825,6783251,19.6,10.6,9,11697079,1375528,334607,45941,60819,200065,.,706934,1738687,16159660,1195306,661736,7129739,519609,9506390,25666050
six half terms,201617,National,E92000001,England,Total,,FSM_Not_eligible,,5824245,2083047973,87345012,66389166,20955846,4.2,3.2,1,489345,8.4,159924750,27625150,18117864,9507286,17.3,11.3,5.9,50534317,5591382,1308093,574640,191425,1605140,.,1183850,4885643,65874490,7779056,973251,10947085,1094978,20794370,86668860
six half terms,201617,National,E92000001,England,Total,,FSM_unclassified,,53530,1566541,301540,135889,165651,19.2,8.7,10.6,23885,44.6,664161,278676,119122,159554,42,17.9,24,49237,5098,7325,234,2728,671,.,12347,57115,134755,10368,2737,138946,11763,163814,298569
six half terms,201617,National,E92000001,England,Total,,FSM_eligible_in_last_6_years,,1879330,652501543,43169215,27809890,15359325,6.6,4.3,2.4,371835,19.8,119181230,22808393,12492217,10316176,19.1,10.5,8.7,20186148,2302165,606597,96974,77972,364113,.,1174452,2814350,27622771,2319767,983999,11108313,864168,15276247,42899018
six half terms,201617,National,E92000001,England,Total,,FSM_not_eligible_in_last_6_years,,4954005,1780277739,69363385,54514112,14849273,3.9,3.1,0.8,348025,7,114288962,19046106,13344135,5701971,16.7,11.7,5,41848053,4642777,1032059,521609,166252,1433484,.,687849,3746374,54078457,6612431,642902,6732424,733045,14720802,68799259
six half terms,201617,National,E92000001,England,Total,,FSM_unclassified_in_last_6_years,,66435,7437528,942687,471483,471204,12.7,6.3,6.3,24420,36.8,2339112,783403,351459,431944,33.5,15,18.5,246432,27066,11369,2232,10748,8279,.,40830,120721,467677,52532,10823,375033,29137,467525,935202
six half terms,201617,National,E92000001,England,Total,,SEN_provision_No_identified_SEN,,5803795,2071163584,88667425,65229994,23437431,4.3,3.1,1.1,522825,9,170457899,29018310,17613990,11404320,17,10.3,6.7,50488372,5117960,1408301,549232,179242,1459577,.,1067475,4475059,64745218,7721190,1172212,13137906,1240819,23272127,88017345
six half terms,201617,National,E92000001,England,Total,,SEN_provision_Statement_or_EHCP,,197585,69305573,5676491,4407266,1269225,8.2,6.4,1.8,47100,23.8,15695053,3636580,2637716,998864,23.2,16.8,6.4,2613280,625963,44278,16064,6761,150026,.,159972,751756,4368100,172353,71930,945649,66269,1256201,5624301
six half terms,201617,National,E92000001,England,Total,,SEN_provision_SEN_Support,,845840,298289186,18845954,13029771,5816183,6.3,4.4,1.9,150930,17.8,49039344,9718022,5822842,3895180,19.8,11.9,7.9,9133234,1223325,190320,55325,66682,195652,.,663997,1399631,12928166,1081911,391036,4000210,307911,5781068,18709234
six half terms,201617,National,E92000001,England,Total,,SEN_provision_Unclassified,,52555,1458467,285417,128454,156963,19.6,8.8,10.8,23425,44.6,617008,264990,113263,151727,42.9,18.4,24.6,45747,4760,7126,194,2287,621,.,11687,54999,127421,9276,2546,132005,11351,155178,282599
six half terms,201617,National,E92000001,England,Total,,SEN_primary_need_Autistic_spectrum_disorder,,93710,33426701,2175197,1678970,496227,6.5,5,1.5,16240,17.3,5471965,1195098,841486,353612,21.8,15.4,6.5,1101253,166613,15061,6727,1766,54702,.,50525,265845,1662492,89534,33981,340903,27752,492170,2154662
six half terms,201617,National,E92000001,England,Total,,SEN_primary_need_Hearing_impairment,,17730,6346720,363599,279916,83683,5.7,4.4,1.3,2700,15.2,919926,161539,111479,50060,17.6,12.1,5.4,187122,51525,6418,1699,722,5504,.,4928,19980,277898,22638,4249,51009,4941,82837,360735
six half terms,201617,National,E92000001,England,Total,,SEN_primary_need_Moderate_learning_difficulty,,235680,83856158,5269935,3540360,1729575,6.3,4.2,2.1,42290,17.9,14249444,2655345,1516761,1138584,18.6,10.6,8,2577140,321328,63658,10644,30266,60194,.,125634,327276,3516140,318495,108698,1200958,91814,1719965,5236105
six half terms,201617,National,E92000001,England,Total,,SEN_primary_need_Multi-sensory_impairment,,2215,799292,50930,42490,8440,6.4,5.3,1.1,380,17.1,130881,25568,20512,5056,19.5,15.7,3.9,28083,7601,440,39,138,772,.,508,4488,42069,2270,697,4849,561,8377,50446
six half terms,201617,National,E92000001,England,Total,,SEN_primary_need_No_specialist_assessment,,34310,12297491,706105,491348,214757,5.7,4,1.7,5350,15.6,1802584,317591,188254,129337,17.6,10.4,7.2,364008,39002,11728,1128,3505,8518,.,16052,41234,485175,48557,15454,134878,13570,212459,697634
six half terms,201617,National,E92000001,England,Total,,SEN_primary_need_Other_difficulty/disability,,46050,16373314,1177633,880004,297629,7.2,5.4,1.8,9500,20.6,3221189,677684,471692,205992,21,14.6,6.4,606260,112027,9904,4163,3111,14900,.,29835,93864,874064,53949,19672,203532,19337,296490,1170554
six half terms,201617,National,E92000001,England,Total,,SEN_primary_need_Physical_disability,,28055,10078171,893788,762370,131418,8.9,7.6,1.3,7930,28.3,2783569,583842,491467,92375,21,17.7,3.3,493327,171369,6805,1799,626,14954,.,4124,62427,755431,32549,8810,80164,8966,130489,885920
six half terms,201617,National,E92000001,England,Total,,SEN_primary_need_Profound_and_multiple_learning_difficulty,,8260,3000020,423665,394870,28795,14.1,13.2,1,3570,43.2,1293321,344783,321080,23703,26.7,24.8,1.8,250204,69425,3494,84,184,11635,.,535,57632,393193,5652,3237,17298,2449,28636,421829
six half terms,201617,National,E92000001,England,Total,,SEN_primary_need_Social_emotional_and_mental_health,,166980,57163268,5123446,3307659,1815787,9,5.8,3.2,45060,27,14175254,3500995,2034618,1466377,24.7,14.4,10.3,1776422,273781,21031,18566,5508,42565,.,414184,721282,3273339,183798,118569,1421240,78774,1802381,5075720
six half terms,201617,National,E92000001,England,Total,,SEN_primary_need_Speech_language_and_communications_needs,,184775,66650688,3468017,2531977,936040,5.2,3.8,1.4,24160,13.1,8252027,1412071,894984,517087,17.1,10.8,6.3,1867811,260937,56812,4543,10165,51395,.,54206,205941,2511810,246737,71862,560262,50336,929197,3441007
six half terms,201617,National,E92000001,England,Total,,SEN_primary_need_Severe_learning_difficulty,,25120,9092942,678392,585386,93006,7.5,6.4,1,5600,22.3,1987071,392381,325956,66425,19.7,16.4,3.3,372309,99560,7779,195,780,34469,.,4697,63335,583124,18760,7570,58408,7658,92396,675520
six half terms,201617,National,E92000001,England,Total,,SEN_primary_need_Specific_learning_difficulty,,129650,46196070,2714267,1956474,757793,5.9,4.2,1.6,20225,15.6,6815374,1281221,784749,496472,18.8,11.5,7.3,1455627,179192,14811,17274,8846,29644,.,68956,169868,1944218,146148,46018,518017,42902,753085,2697303
six half terms,201617,National,E92000001,England,Total,,SEN_primary_need_Visual_impairment,,10005,3582140,224025,174238,49787,6.3,4.9,1.4,1740,17.4,599312,109497,78692,30805,18.3,13.1,5.1,114193,34495,3740,913,217,3595,.,2813,12946,172912,12931,2900,30598,3016,49445,222357
