year,level,country_code,country,school_type,characteristic_desc,characteristic_1,characteristic_2,headcount
201617,NATIONAL,E92000001,England,Total,Total,Total,Total,8025075
201617,NATIONAL,E92000001,England,Total,Gender,Gender_male,Total,4090410
201617,NATIONAL,E92000001,England,Total,Gender,Gender_female,Total,3934665
201617,NATIONAL,E92000001,England,Total,Age,Age_4_and_under,Total,973710
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_4_and_under,Male,497265
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_4_and_under,Female,476440
201617,NATIONAL,E92000001,England,Total,Age,Age_5,Total,667465
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_5,Male,342520
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_5,Female,324945
201617,NATIONAL,E92000001,England,Total,Age,Age_6,Total,656415
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_6,Male,336640
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_6,Female,319770
201617,NATIONAL,E92000001,England,Total,Age,Age_7,Total,643905
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_7,Male,329420
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_7,Female,314485
201617,NATIONAL,E92000001,England,Total,Age,Age_8,Total,646965
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_8,Male,330810
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_8,Female,316155
201617,NATIONAL,E92000001,England,Total,Age,Age_9,Total,621675
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_9,Male,318225
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_9,Female,303450
201617,NATIONAL,E92000001,England,Total,Age,Age_10,Total,601495
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_10,Male,307530
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_10,Female,293960
201617,NATIONAL,E92000001,England,Total,Age,Age_11,Total,583650
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_11,Male,298475
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_11,Female,285175
201617,NATIONAL,E92000001,England,Total,Age,Age_12,Total,571860
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_12,Male,292305
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_12,Female,279555
201617,NATIONAL,E92000001,England,Total,Age,Age_13,Total,554815
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_13,Male,283790
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_13,Female,271025
201617,NATIONAL,E92000001,England,Total,Age,Age_14,Total,533155
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_14,Male,272730
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_14,Female,260425
201617,NATIONAL,E92000001,England,Total,Age,Age_15,Total,529825
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_15,Male,269445
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_15,Female,260385
201617,NATIONAL,E92000001,England,Total,Age,Age_16,Total,221395
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_16,Male,106405
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_16,Female,114990
201617,NATIONAL,E92000001,England,Total,Age,Age_17,Total,196130
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_17,Male,92490
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_17,Female,103640
201617,NATIONAL,E92000001,England,Total,Age,Age_18,Total,22040
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_18,Male,12060
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_18,Female,9985
201617,NATIONAL,E92000001,England,Total,Age,Age_19_and_over,Total,580
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_19_and_over,Male,290
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_19_and_over,Female,285
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Major_White_Total,Total,5984600
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Major_White_Total,Male,3053265
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Major_White_Total,Female,2931335
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_White_British,Total,5439960
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_British,Male,2775000
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_British,Female,2664960
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Irish,Total,23295
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Irish,Male,11865
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Irish,Female,11430
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Traveller_of_Irish_heritage,Total,5810
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Traveller_of_Irish_heritage,Male,2990
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Traveller_of_Irish_heritage,Female,2820
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Gypsy_Roma,Total,25565
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Gypsy_Roma,Male,12920
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Gypsy_Roma,Female,12645
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Any_other_white_background,Total,489975
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_other_white_background,Male,250495
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_other_white_background,Female,239480
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Major_Mixed_Total,Total,447810
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Major_Mixed_Total,Male,226990
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Major_Mixed_Total,Female,220820
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_White_and_Black_Caribbean,Total,119645
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_and_Black_Caribbean,Male,59865
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_and_Black_Caribbean,Female,59780
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_White_and_Black_African,Total,59580
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_and_Black_African,Male,29855
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_and_Black_African,Female,29725
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_White_and_Asian,Total,105120
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_and_Asian,Male,53610
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_and_Asian,Female,51510
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Any_other_Mixed_background,Total,163470
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_other_Mixed_background,Male,83660
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_other_Mixed_background,Female,79810
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Major_Asian_Total,Total,871920
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Major_Asian_Total,Male,444970
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Major_Asian_Total,Female,426950
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Indian,Total,238345
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Indian,Male,122435
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Indian,Female,115910
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Pakistani,Total,349980
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Pakistani,Male,178050
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Pakistani,Female,171930
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Bangladeshi,Total,139075
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Bangladeshi,Male,69945
