time_period,time_identifier,level,country_code,country_name,school_type,characteristic_breakdown,characteristic_label,characteristic_2,headcount
201617,,NATIONAL,E92000001,England,Total,Total,Total,Total,8025075
201617,,NATIONAL,E92000001,England,Total,Gender_male,Gender,Total,4090410
201617,,NATIONAL,E92000001,England,Total,Gender_female,Gender,Total,3934665
201617,,NATIONAL,E92000001,England,Total,Age_4_and_under,Age,Total,973710
201617,,NATIONAL,E92000001,England,Total,Age_4_and_under,Age_gender,Male,497265
201617,,NATIONAL,E92000001,England,Total,Age_4_and_under,Age_gender,Female,476440
201617,,NATIONAL,E92000001,England,Total,Age_5,Age,Total,667465
201617,,NATIONAL,E92000001,England,Total,Age_5,Age_gender,Male,342520
201617,,NATIONAL,E92000001,England,Total,Age_5,Age_gender,Female,324945
201617,,NATIONAL,E92000001,England,Total,Age_6,Age,Total,656415
201617,,NATIONAL,E92000001,England,Total,Age_6,Age_gender,Male,336640
201617,,NATIONAL,E92000001,England,Total,Age_6,Age_gender,Female,319770
201617,,NATIONAL,E92000001,England,Total,Age_7,Age,Total,643905
201617,,NATIONAL,E92000001,England,Total,Age_7,Age_gender,Male,329420
201617,,NATIONAL,E92000001,England,Total,Age_7,Age_gender,Female,314485
201617,,NATIONAL,E92000001,England,Total,Age_8,Age,Total,646965
201617,,NATIONAL,E92000001,England,Total,Age_8,Age_gender,Male,330810
201617,,NATIONAL,E92000001,England,Total,Age_8,Age_gender,Female,316155
201617,,NATIONAL,E92000001,England,Total,Age_9,Age,Total,621675
201617,,NATIONAL,E92000001,England,Total,Age_9,Age_gender,Male,318225
201617,,NATIONAL,E92000001,England,Total,Age_9,Age_gender,Female,303450
201617,,NATIONAL,E92000001,England,Total,Age_10,Age,Total,601495
201617,,NATIONAL,E92000001,England,Total,Age_10,Age_gender,Male,307530
201617,,NATIONAL,E92000001,England,Total,Age_10,Age_gender,Female,293960
201617,,NATIONAL,E92000001,England,Total,Age_11,Age,Total,583650
201617,,NATIONAL,E92000001,England,Total,Age_11,Age_gender,Male,298475
201617,,NATIONAL,E92000001,England,Total,Age_11,Age_gender,Female,285175
201617,,NATIONAL,E92000001,England,Total,Age_12,Age,Total,571860
201617,,NATIONAL,E92000001,England,Total,Age_12,Age_gender,Male,292305
201617,,NATIONAL,E92000001,England,Total,Age_12,Age_gender,Female,279555
201617,,NATIONAL,E92000001,England,Total,Age_13,Age,Total,554815
201617,,NATIONAL,E92000001,England,Total,Age_13,Age_gender,Male,283790
201617,,NATIONAL,E92000001,England,Total,Age_13,Age_gender,Female,271025
201617,,NATIONAL,E92000001,England,Total,Age_14,Age,Total,533155
201617,,NATIONAL,E92000001,England,Total,Age_14,Age_gender,Male,272730
201617,,NATIONAL,E92000001,England,Total,Age_14,Age_gender,Female,260425
201617,,NATIONAL,E92000001,England,Total,Age_15,Age,Total,529825
201617,,NATIONAL,E92000001,England,Total,Age_15,Age_gender,Male,269445
201617,,NATIONAL,E92000001,England,Total,Age_15,Age_gender,Female,260385
201617,,NATIONAL,E92000001,England,Total,Age_16,Age,Total,221395
201617,,NATIONAL,E92000001,England,Total,Age_16,Age_gender,Male,106405
201617,,NATIONAL,E92000001,England,Total,Age_16,Age_gender,Female,114990
201617,,NATIONAL,E92000001,England,Total,Age_17,Age,Total,196130
201617,,NATIONAL,E92000001,England,Total,Age_17,Age_gender,Male,92490
201617,,NATIONAL,E92000001,England,Total,Age_17,Age_gender,Female,103640
201617,,NATIONAL,E92000001,England,Total,Age_18,Age,Total,22040
201617,,NATIONAL,E92000001,England,Total,Age_18,Age_gender,Male,12060
201617,,NATIONAL,E92000001,England,Total,Age_18,Age_gender,Female,9985
201617,,NATIONAL,E92000001,England,Total,Age_19_and_over,Age,Total,580
201617,,NATIONAL,E92000001,England,Total,Age_19_and_over,Age_gender,Male,290
201617,,NATIONAL,E92000001,England,Total,Age_19_and_over,Age_gender,Female,285
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_White_Total,Ethnicity,Total,5984600
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_White_Total,Ethnicity_gender,Male,3053265
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_White_Total,Ethnicity_gender,Female,2931335
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_White_British,Ethnicity,Total,5439960
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_White_British,Ethnicity_gender,Male,2775000
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_White_British,Ethnicity_gender,Female,2664960
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Irish,Ethnicity,Total,23295
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Irish,Ethnicity_gender,Male,11865
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Irish,Ethnicity_gender,Female,11430
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Traveller_of_Irish_heritage,Ethnicity,Total,5810
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Traveller_of_Irish_heritage,Ethnicity_gender,Male,2990
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Traveller_of_Irish_heritage,Ethnicity_gender,Female,2820
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Gypsy_Roma,Ethnicity,Total,25565
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Gypsy_Roma,Ethnicity_gender,Male,12920
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Gypsy_Roma,Ethnicity_gender,Female,12645
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Any_other_white_background,Ethnicity,Total,489975
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Any_other_white_background,Ethnicity_gender,Male,250495
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Any_other_white_background,Ethnicity_gender,Female,239480
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Mixed_Total,Ethnicity,Total,447810
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Mixed_Total,Ethnicity_gender,Male,226990
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Mixed_Total,Ethnicity_gender,Female,220820
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_White_and_Black_Caribbean,Ethnicity,Total,119645
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_White_and_Black_Caribbean,Ethnicity_gender,Male,59865
