time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type,perm_physical_pupils,perm_physical_adult,perm_verbal_pupil,perm_verbal_adult,perm_bullying,perm_racist_abuse,perm_sexual_misconduct,perm_drug_alcohol,perm_damage,perm_theft,perm_persistent_disruptive,perm_other,fixed_physical_pupils,fixed_physical_adult,fixed_verbal_pupil,fixed_verbal_adult,fixed_bullying,fixed_racist_abuse,fixed_sexual_misconduct,fixed_drug_alcohol,fixed_damage,fixed_theft,fixed_persistent_disruptive,fixed_other
academic year,201617,national,E92000001,England,,,,,,Total,1025,745,330,655,25,25,105,565,95,40,2755,1355,64355,26695,15170,59675,4250,4565,2235,9075,7685,4320,108640,75195
academic year,201617,national,E92000001,England,,,,,,State-funded primary,160,380,45,105,5,5,15,x,20,0,440,80,13405,17500,2520,6220,395,470,225,45,1415,195,17755,4190
academic year,201617,national,E92000001,England,,,,,,State-funded secondary,860,330,280,545,20,20,85,565,75,40,2295,1265,48610,5075,12150,51835,3590,3870,1930,8820,5290,4065,88165,69495
academic year,201617,national,E92000001,England,,,,,,Special,5,30,x,5,x,x,5,x,x,0,20,10,2345,4120,500,1615,265,225,80,215,985,60,2715,1510
academic year,201617,regional,E92000001,England,E12000001,North East,,,,Total,35,35,10,55,x,5,5,25,5,5,155,95,2640,960,570,3835,175,200,65,380,400,160,8885,4560
academic year,201617,regional,E92000001,England,E12000001,North East,,,,State-funded primary,x,10,0,x,0,0,0,0,0,0,10,5,355,490,90,245,5,15,5,0,25,x,550,125
academic year,201617,regional,E92000001,England,E12000001,North East,,,,State-funded secondary,30,25,10,50,x,5,5,25,5,5,140,90,2170,275,455,3480,155,180,60,355,285,155,8135,4300
academic year,201617,regional,E92000001,England,E12000001,North East,,,,Special,0,x,x,0,0,0,0,0,0,0,x,0,115,195,25,105,15,5,0,25,90,x,200,135
academic year,201617,regional,E92000001,England,E12000002,North West,,,,Total,175,110,60,155,10,5,10,110,15,10,530,285,7750,3220,1955,8370,505,665,255,1445,1025,480,12145,11295
academic year,201617,regional,E92000001,England,E12000002,North West,,,,State-funded primary,25,45,5,20,5,x,x,x,5,0,70,15,1550,1870,305,755,75,60,30,5,145,30,2300,535
academic year,201617,regional,E92000001,England,E12000002,North West,,,,State-funded secondary,150,65,55,135,5,5,10,110,10,10,460,270,5870,650,1590,7400,395,580,215,1410,720,440,9430,10495
academic year,201617,regional,E92000001,England,E12000002,North West,,,,Special,x,0,0,0,0,0,0,0,0,0,x,x,330,700,55,215,35,30,10,30,160,10,415,270
academic year,201617,regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Total,75,65,20,65,5,x,5,45,10,0,225,85,7485,3050,1685,9000,335,510,230,1005,945,415,22790,11725
academic year,201617,regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,State-funded primary,10,30,5,5,0,0,0,x,x,0,25,5,1495,2090,265,785,30,65,25,10,180,10,2185,325
academic year,201617,regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,State-funded secondary,65,40,20,60,5,x,5,40,10,0,200,80,5885,780,1400,8150,295,435,200,975,730,405,20515,11360
academic year,201617,regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Special,x,0,0,0,0,0,0,0,0,0,x,0,110,180,15,65,10,10,x,20,35,5,90,45
academic year,201617,regional,E92000001,England,E12000004,East Midlands,,,,Total,70,85,15,50,x,x,5,45,5,x,215,105,5220,2130,1025,4740,355,400,185,655,560,290,8705,7450
academic year,201617,regional,E92000001,England,E12000004,East Midlands,,,,State-funded primary,15,50,5,10,0,0,0,0,x,0,35,10,955,1405,175,525,25,30,15,x,100,10,1335,400
academic year,201617,regional,E92000001,England,E12000004,East Midlands,,,,State-funded secondary,55,25,10,40,x,x,5,45,5,x,175,95,4105,435,835,4175,310,360,165,640,375,270,7260,6980
academic year,201617,regional,E92000001,England,E12000004,East Midlands,,,,Special,0,5,0,x,0,0,0,0,0,0,x,0,160,290,15,40,25,10,5,10,85,10,110,65
academic year,201617,regional,E92000001,England,E12000005,West Midlands,,,,Total,165,140,55,85,5,5,10,50,15,5,520,165,8240,2840,1720,6420,490,575,250,775,930,455,10760,8505
academic year,201617,regional,E92000001,England,E12000005,West Midlands,,,,State-funded primary,45,85,10,20,0,x,x,0,5,0,95,15,1930,1745,355,750,75,75,35,5,185,35,2225,760
academic year,201617,regional,E92000001,England,E12000005,West Midlands,,,,State-funded secondary,120,45,45,65,x,x,5,50,10,5,420,145,6010,580,1305,5475,380,465,205,755,645,410,8315,7570
academic year,201617,regional,E92000001,England,E12000005,West Midlands,,,,Special,5,5,x,5,x,0,x,0,x,0,5,5,305,515,55,190,40,30,10,15,100,10,220,175
academic year,201617,regional,E92000001,England,E12000006,East of England,,,,Total,105,75,30,55,x,x,10,60,10,x,245,145,7040,3040,1645,5705,440,470,255,985,885,460,9670,7225
academic year,201617,regional,E92000001,England,E12000006,East of England,,,,State-funded primary,20,50,10,10,0,0,5,0,x,0,55,15,1905,2390,340,790,35,60,20,5,200,15,2440,685
academic year,201617,regional,E92000001,England,E12000006,East of England,,,,State-funded secondary,85,20,20,40,x,x,10,60,10,x,185,135,4925,345,1255,4765,390,395,225,950,580,440,6990,6385
academic year,201617,regional,E92000001,England,E12000006,East of England,,,,Special,x,5,0,0,0,0,x,x,0,0,5,0,210,305,50,150,15,15,5,30,105,5,240,150
academic year,201617,regional,E92000001,England,E12000008,South East,,,,Total,125,65,45,80,x,x,10,80,10,x,290,105,10085,5370,2505,9245,615,715,325,1760,1260,675,15890,6605
academic year,201617,regional,E92000001,England,E12000008,South East,,,,State-funded primary,20,35,5,15,0,0,x,0,x,0,55,5,2405,3750,435,1080,50,90,40,5,285,35,3335,495
academic year,201617,regional,E92000001,England,E12000008,South East,,,,State-funded secondary,110,25,40,65,x,x,10,80,10,x,230,95,7160,780,1900,7785,500,595,265,1705,790,635,11845,5910
academic year,201617,regional,E92000001,England,E12000008,South East,,,,Special,0,5,0,0,0,0,0,0,x,0,5,x,520,845,165,380,65,30,20,50,180,10,710,200
academic year,201617,regional,E92000001,England,E12000009,South West,,,,Total,95,90,35,60,x,5,5,85,10,5,290,90,6040,3060,1465,6525,390,415,155,1065,760,385,10435,7125
academic year,201617,regional,E92000001,England,E12000009,South West,,,,State-funded primary,15,50,5,15,0,x,x,0,x,0,50,10,1375,2170,285,775,25,35,20,10,135,15,1855,320
academic year,201617,regional,E92000001,England,E12000009,South West,,,,State-funded secondary,75,40,30,45,x,x,5,85,10,5,235,80,4445,480,1145,5545,350,350,120,1035,520,360,8290,6585
academic year,201617,regional,E92000001,England,E12000009,South West,,,,Special,0,5,0,0,0,x,0,0,0,0,x,x,220,410,35,205,15,30,15,20,105,5,290,220
academic year,201617,regional,E92000001,England,E13000001,Inner London,,,,Total,70,30,25,15,0,x,10,25,0,x,110,120,3625,1140,930,1940,385,175,180,300,300,335,3465,4370
academic year,201617,regional,E92000001,England,E13000001,Inner London,,,,State-funded primary,5,10,5,x,0,0,x,0,0,0,15,5,530,560,120,200,30,15,10,x,65,20,550,265
academic year,201617,regional,E92000001,England,E13000001,Inner London,,,,State-funded secondary,65,15,20,15,0,x,10,25,0,x,95,115,2900,305,770,1665,335,150,165,290,200,310,2765,4000
academic year,201617,regional,E92000001,England,E13000001,Inner London,,,,Special,0,0,0,0,0,0,x,0,0,0,0,x,195,270,40,80,20,15,5,5,40,5,150,100
academic year,201617,regional,E92000001,England,E13000002,Outer London,,,,Total,110,50,35,40,5,x,30,45,10,15,180,165,6230,1885,1685,3890,560,440,340,710,620,665,5895,6330
academic year,201617,regional,E92000001,England,E13000002,Outer London,,,,State-funded primary,5,15,0,5,x,0,5,0,x,0,20,5,905,1030,155,305,50,30,25,0,90,20,980,280
academic year,201617,regional,E92000001,England,E13000002,Outer London,,,,State-funded secondary,105,30,35,35,5,x,25,45,10,15,160,155,5135,450,1485,3395,485,360,310,700,445,640,4620,5905
academic year,201617,regional,E92000001,England,E13000002,Outer London,,,,Special,0,5,0,x,0,0,0,0,0,0,0,x,190,405,45,190,30,50,5,5,85,x,295,145
academic year,201617,local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
academic year,201617,local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,State-funded primary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
academic year,201617,local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Total,7,x,x,4,0,0,0,x,0,0,4,10,238,76,59,153,19,15,7,15,12,9,222,180
academic year,201617,local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,State-funded primary,0,0,0,0,0,0,0,0,0,0,x,0,22,27,x,17,x,0,0,0,x,0,33,x
academic year,201617,local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,State-funded secondary,7,x,x,4,0,0,0,x,0,0,3,10,207,22,56,135,17,14,6,14,9,9,189,177
academic year,201617,local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Special,0,0,0,0,0,0,0,0,0,0,0,0,9,27,x,x,0,x,x,x,x,0,0,x
academic year,201617,local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Total,4,0,x,0,0,0,x,0,0,0,x,4,481,139,131,371,52,51,23,18,48,58,541,459
academic year,201617,local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,State-funded primary,0,0,0,0,0,0,0,0,0,0,0,0,72,65,10,26,x,3,0,0,5,x,92,21
academic year,201617,local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,State-funded secondary,4,0,x,0,0,0,x,0,0,0,x,4,390,38,103,306,45,36,23,17,22,57,384,413
academic year,201617,local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Special,0,0,0,0,0,0,0,0,0,0,0,0,19,36,18,39,6,12,0,x,21,0,65,25
academic year,201617,local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Total,4,4,7,0,0,0,x,3,0,0,6,17,336,89,84,190,21,21,8,18,27,35,417,678
academic year,201617,local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,State-funded primary,x,x,0,0,0,0,0,0,0,0,x,0,45,61,10,23,0,0,x,0,14,3,67,10
academic year,201617,local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,State-funded secondary,3,x,7,0,0,0,x,3,0,0,5,17,288,27,74,166,21,21,6,18,11,32,350,666
academic year,201617,local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Special,0,0,0,0,0,0,0,0,0,0,0,0,3,x,0,x,0,0,0,0,x,0,0,x
academic year,201617,local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Total,3,0,0,0,0,0,x,0,0,0,4,7,178,34,42,82,20,10,3,31,22,34,96,433
academic year,201617,local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,State-funded primary,0,0,0,0,0,0,x,0,0,0,x,0,34,18,4,8,0,x,x,0,3,x,30,6
academic year,201617,local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,State-funded secondary,3,0,0,0,0,0,0,0,0,0,x,7,133,12,30,63,19,8,x,31,19,33,62,422
academic year,201617,local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Special,0,0,0,0,0,0,0,0,0,0,0,0,11,4,8,11,x,x,0,0,0,0,4,5
academic year,201617,local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Total,8,4,x,x,0,x,0,x,0,0,9,8,274,94,98,173,16,19,3,17,21,20,466,50
academic year,201617,local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,State-funded primary,x,x,x,x,0,0,0,0,0,0,5,0,67,74,23,33,x,x,0,0,6,8,77,12
academic year,201617,local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,State-funded secondary,7,x,0,0,0,x,0,x,0,0,4,8,198,10,73,139,14,17,3,17,15,12,388,36
academic year,201617,local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Special,0,0,0,0,0,0,0,0,0,0,0,0,9,10,x,x,0,0,0,0,0,0,x,x
academic year,201617,local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Total,3,x,0,0,0,0,x,0,0,0,5,10,95,26,47,59,9,5,10,22,13,13,75,296
academic year,201617,local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,State-funded primary,0,x,0,0,0,0,0,0,0,0,x,x,13,12,7,4,x,x,0,0,0,x,14,9
academic year,201617,local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,State-funded secondary,3,0,0,0,0,0,x,0,0,0,3,9,82,10,39,55,7,4,10,22,10,12,61,285
academic year,201617,local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Special,0,0,0,0,0,0,0,0,0,0,0,0,0,4,x,0,0,0,0,0,3,0,0,x
academic year,201617,local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Total,4,x,x,x,0,0,0,x,0,0,15,9,252,90,59,138,21,8,12,22,14,25,311,286
academic year,201617,local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,State-funded primary,0,x,x,x,0,0,0,0,0,0,3,x,67,54,18,38,5,x,x,0,4,x,69,47
academic year,201617,local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,State-funded secondary,4,0,x,0,0,0,0,x,0,0,12,7,181,27,41,100,15,7,11,22,10,24,237,208
academic year,201617,local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Special,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,x,0,0,0,0,0,5,31
academic year,201617,local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Total,12,4,4,x,0,0,3,5,0,0,16,18,520,146,109,226,38,21,28,50,34,21,373,266
academic year,201617,local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,State-funded primary,0,0,0,0,0,0,0,0,0,0,0,0,36,64,9,14,6,3,5,0,12,0,38,45
academic year,201617,local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,State-funded secondary,12,4,4,x,0,0,x,5,0,0,16,18,449,38,95,197,32,18,23,49,14,21,291,209
academic year,201617,local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Special,0,0,0,0,0,0,x,0,0,0,0,0,35,44,5,15,0,0,0,x,8,0,44,12
academic year,201617,local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,Total,4,4,3,x,0,0,x,x,0,0,9,14,360,169,69,144,29,16,19,16,31,43,301,396
academic year,201617,local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,State-funded primary,0,x,0,0,0,0,0,0,0,0,0,0,110,94,14,13,0,0,0,0,10,x,54,70
academic year,201617,local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,State-funded secondary,4,x,3,x,0,0,x,x,0,0,9,14,224,38,53,128,23,16,19,15,19,40,241,323
academic year,201617,local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,Special,0,0,0,0,0,0,0,0,0,0,0,0,26,37,x,3,6,0,0,x,x,x,6,3
academic year,201617,local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Total,x,x,0,0,0,0,0,x,0,0,x,x,219,71,47,141,62,16,9,43,37,15,231,175
academic year,201617,local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,State-funded primary,0,x,0,0,0,0,0,0,0,0,0,0,23,27,x,5,x,4,0,0,3,0,29,6
academic year,201617,local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,State-funded secondary,x,x,0,0,0,0,0,x,0,0,x,x,189,19,41,126,59,11,7,40,28,14,195,166
academic year,201617,local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Special,0,0,0,0,0,0,0,0,0,0,0,0,7,25,4,10,x,x,x,3,6,x,7,3
academic year,201617,local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Total,x,x,x,x,0,0,0,4,0,0,15,5,182,87,50,93,13,x,7,14,21,25,192,190
academic year,201617,local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,State-funded primary,0,x,0,0,0,0,0,0,0,0,x,0,40,58,15,15,6,x,0,x,4,x,38,8
academic year,201617,local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,State-funded secondary,x,0,x,x,0,0,0,4,0,0,14,5,127,13,28,72,7,x,6,13,13,22,154,152
academic year,201617,local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Special,0,0,0,0,0,0,0,0,0,0,0,0,15,16,7,6,0,0,x,0,4,x,0,30
academic year,201617,local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Total,0,x,0,0,0,0,0,x,0,0,4,x,163,25,68,81,20,3,3,14,x,20,147,612
academic year,201617,local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,State-funded primary,0,0,0,0,0,0,0,0,0,0,x,x,21,10,3,5,0,0,0,0,0,0,12,6
academic year,201617,local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,State-funded secondary,0,x,0,0,0,0,0,x,0,0,3,x,142,13,64,75,20,3,3,14,x,20,121,606
academic year,201617,local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Special,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,0,0,0,0,0,0,14,0
academic year,201617,local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,Total,3,x,x,x,0,0,x,x,0,0,11,7,165,104,30,120,12,9,9,3,23,19,243,61
academic year,201617,local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,State-funded primary,0,0,0,0,0,0,0,0,0,0,0,x,46,72,6,28,4,x,0,0,6,0,59,4
academic year,201617,local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,State-funded secondary,3,x,x,x,0,0,x,x,0,0,11,6,119,32,24,92,8,7,9,3,17,19,184,57
academic year,201617,local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,Total,13,0,3,x,x,0,x,x,x,x,10,11,377,71,107,190,39,54,26,61,36,65,281,518
academic year,201617,local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,State-funded primary,0,0,0,0,0,0,0,0,0,0,0,0,19,32,x,9,0,x,x,0,4,0,23,7
